film_id,genre,release_date,title,length,rental_cost
110,romance,1979-07-12,Executive show per nor writer.,0.8700000000000001,9.65
111,romance,1997-08-27,Skin shoulder western road above within growth.,0.79,6.42
112,scifi,1978-05-29,Small opportunity catch some.,0.81,8.09
113,scifi,2016-12-09,Memory quality generation thank open trade culture.,3.0900000000000003,6.71
114,comedy,1987-02-07,Next fact crime share during.,0.30000000000000004,3.83
115,romance,2015-08-30,Young compare television want floor specific.,1.79,5.81
116,romance,1991-03-13,Friend record lot sit spring deep.,0.45,7.68
117,scifi,2005-06-07,Better idea various usually.,0.64,3.08
118,romance,1987-11-25,Serious case course form movement finish.,0.32,8.15
119,scifi,1991-07-17,Later end particular management.,1.3,6.97
120,comedy,1992-06-03,Detail chance lot since.,1.8299999999999998,3.89
121,romance,2001-12-18,Seat state record.,0.37,7.89
122,scifi,2011-10-13,Effort base husband today.,1.3599999999999999,8.12
123,scifi,1999-05-09,Matter side music role.,0.7,3.25
124,romance,1996-02-19,Cover car these serve political.,1.8,7.4
125,scifi,2013-03-28,Certainly national company unit.,0.28,9.4
126,comedy,2004-01-20,Glass ability indicate it value third class.,2.06,4.97
127,romance,2004-02-25,Experience chance recent strong two staff state.,2.1,9.27
128,documentary,2004-09-16,Church state rule market.,1.3399999999999999,6.79
129,documentary,1992-06-19,Network development ready able.,0.64,1.27
130,romance,1998-12-08,Significant get result reach.,3.1300000000000003,0.79
131,romance,1979-11-08,Right trade life program next.,1.1,2.39
132,documentary,2015-01-07,New memory nature worker probably mouth political.,1.41,7.3
133,documentary,1986-01-18,Nor control law in.,2.7600000000000002,2.95
134,documentary,1992-06-22,Party keep take range meeting war cup.,2.14,4.5
135,scifi,1984-06-15,Life service protect.,2.22,5.91
136,romance,2016-09-14,One ok land peace like return message.,3.0100000000000002,8.89
137,romance,1977-05-21,Purpose meet forward technology.,0.76,7.27
138,comedy,2015-10-30,Teach finish west customer industry feeling.,1.57,3.09
139,scifi,1990-02-20,Top bad threat science official dream them.,2.2800000000000002,5.5
140,romance,1978-04-06,Message fast view.,1.5999999999999999,3.26
141,scifi,1994-12-03,Employee real future base.,2.9200000000000004,5.49
142,comedy,2013-10-15,Indicate year more item least campaign news.,0.6699999999999999,6.37
143,documentary,2013-02-09,Cell wide sense official might part.,0.49,5.34
144,comedy,1992-11-04,Discover phone against professional old writer serve democratic.,2.8000000000000003,2.01
145,comedy,2001-06-02,Family describe threat scene positive.,1.9,4.58
146,comedy,1998-11-28,Single traditional sea last politics participant meet animal.,1.44,4.65
147,scifi,1984-12-16,Relationship election several senior center.,2.4200000000000004,2.0
148,documentary,1987-10-21,Entire time boy the either.,2.12,1.28
149,comedy,2020-04-15,She staff hundred along safe challenge door.,0.51,2.11
150,scifi,1998-12-29,Side design nothing instead author suddenly.,0.54,5.71
151,comedy,2007-02-26,Design head occur school issue keep magazine.,1.17,9.97
152,documentary,1982-01-08,Evening mean own clear long respond.,2.8400000000000003,9.82
153,comedy,2015-04-20,Sign maintain west final indeed police always security.,2.6500000000000004,2.56
154,romance,1997-09-19,Stand risk enjoy remember resource exactly beat.,2.5100000000000002,2.34
155,romance,2009-09-09,Year tough two determine likely discover.,2.24,8.87
156,scifi,2012-07-31,Military also over hit family guy.,1.3299999999999998,1.41
157,scifi,1981-02-20,State how around individual evidence investment.,1.97,6.42
158,documentary,1979-10-06,Attack including participant race study check war argue.,0.63,6.25
159,comedy,2012-02-11,Control or nature offer outside though music.,2.1,5.5
160,romance,2010-11-14,Sure energy have it place increase.,2.54,2.25
161,scifi,2017-09-23,Evening artist many.,0.98,2.91
162,comedy,1996-03-31,Gas third concern out fill.,0.36,4.64
163,scifi,2017-07-12,Suddenly political support study Mrs.,2.18,6.37
164,romance,1990-06-01,By alone difference.,0.62,5.95
165,scifi,1985-09-24,They various guy air.,2.6900000000000004,7.4
166,comedy,2005-01-03,Old job stand discover year receive inside.,0.29000000000000004,1.68
167,romance,2014-06-14,Yard job let very.,1.02,7.2
168,romance,1979-12-07,Four happy worker else officer something opportunity.,2.29,9.82
169,comedy,1992-06-04,Police loss save series the while.,1.06,5.42
170,comedy,1987-09-01,Something light guess where.,2.3800000000000003,2.43
171,documentary,2009-05-11,Believe base still like cover situation commercial.,1.4,3.32
172,scifi,2017-11-14,Idea provide hit finish save.,2.14,1.54
173,romance,1988-06-22,Civil south thus treat one why.,2.25,3.63
174,romance,2016-11-03,Town himself room window camera indicate carry.,3.16,3.68
175,comedy,1997-05-28,Movement across economic commercial wait whether also should.,0.35,9.01
176,documentary,2007-03-25,Position yard risk individual easy drop garden method.,3.0500000000000003,8.0
177,scifi,2016-11-12,Billion determine when throughout even today miss.,1.65,3.46
178,scifi,1987-03-26,Determine will despite understand people plant.,2.19,0.99
179,scifi,2015-01-29,Cut wrong college beyond inside as.,1.56,1.9
180,scifi,2018-09-13,Poor career hope physical hour half pass face.,2.87,9.96
181,comedy,2005-09-23,International character our.,2.35,4.62
182,documentary,1999-07-02,My American idea election drive mouth tree music.,0.27,4.65
183,comedy,1991-12-06,Along discussion leader full.,3.06,4.97
184,documentary,1981-10-21,Reality clearly be wife story.,2.33,9.29
185,romance,2000-07-14,Light technology sing culture.,2.99,9.66
186,documentary,2017-08-18,Throughout cover play market.,0.63,3.11
187,documentary,1990-01-18,Building call under high.,2.87,4.65
188,documentary,1977-10-17,Western any explain yourself cup arm history yes.,1.8599999999999999,2.95
189,scifi,1998-11-21,Night science tough that.,2.95,5.63
190,comedy,1997-02-04,Vote company remain evidence order car may.,0.8400000000000001,6.04
191,comedy,2014-01-11,Carry college mind right social town serious poor.,3.16,2.11
192,romance,1978-05-13,Reveal mouth two chance.,1.81,7.25
193,scifi,1999-05-30,When stand wind thus growth series likely owner.,2.9000000000000004,6.56
194,romance,1995-01-01,However participant certainly speak call operation market born.,1.71,1.27
195,comedy,2009-10-18,New agreement offer.,1.31,8.13
196,romance,2021-04-14,Probably page spend spring.,2.85,8.25
197,romance,1984-03-23,Bit to yourself such.,2.52,8.1
198,scifi,2001-10-05,Just effect despite sense sport foreign.,2.09,2.78
199,scifi,2004-10-18,Heavy different hour local.,1.55,4.11
200,documentary,2001-07-03,Star beat head model society rise also.,1.76,3.94
201,scifi,2005-06-13,Travel knowledge indicate.,2.93,0.53
202,documentary,1988-12-05,Occur might decision bring idea.,1.76,6.89
203,documentary,1999-06-25,Many experience security relationship help scientist remain.,2.6300000000000003,8.86
204,documentary,2015-12-23,Light carry lot sense ten letter something example.,0.8700000000000001,4.81
205,comedy,2019-10-22,Purpose whether cause kind reflect suffer.,0.55,6.72
206,scifi,2018-02-14,Watch range thank wide buy.,1.79,7.23
207,comedy,2004-08-01,Outside figure remember just.,1.27,8.67
208,documentary,2012-12-14,Debate can tax rock one east yes.,0.44,2.31
209,comedy,2020-01-19,Thought wind what.,0.98,8.82
210,comedy,2021-09-16,Admit herself process give authority mind suddenly.,2.24,2.29
211,scifi,1981-11-06,Factor soon through occur music.,2.9200000000000004,8.05
212,scifi,2010-04-10,Else left specific scientist.,2.18,3.0
213,comedy,1997-12-21,Special available commercial pressure purpose provide space.,1.24,7.53
214,scifi,2011-04-17,That after road nor send seat.,2.81,0.35
215,documentary,2004-06-12,Modern energy garden my side any cup buy.,0.78,6.12
216,scifi,1995-11-10,Consumer among ago sister drive traditional share note.,1.72,4.15
217,romance,1987-06-12,Of black difference Congress mouth listen speak.,2.4200000000000004,7.59
218,romance,1992-06-27,Fine town mind former set.,0.8300000000000001,3.86
219,scifi,1990-03-02,Call follow fear movement success land writer second.,1.5999999999999999,5.62
220,comedy,2012-07-16,Heart high value themselves theory hundred get.,0.5800000000000001,9.62
221,scifi,2012-12-27,More contain certainly pull.,2.5100000000000002,2.95
222,comedy,2011-03-20,Certainly painting knowledge contain.,2.7800000000000002,6.71
223,romance,2016-11-02,Adult cause sister attorney cut.,1.25,2.06
224,scifi,1981-02-17,Summer administration general understand small drop.,0.5900000000000001,6.85
225,comedy,2017-06-25,Sound senior save foot center capital.,1.3599999999999999,8.17
226,romance,1992-06-09,Data woman how from indeed choice.,3.0900000000000003,3.2
227,romance,1991-11-10,Fly air role mother argue process writer.,2.39,6.96
228,scifi,2008-03-11,Without hard he director discuss paper amount.,0.34,9.96
229,documentary,1986-11-26,Far any thank only.,0.79,0.68
230,documentary,1992-02-22,Control relationship accept memory kid similar.,1.53,2.79
231,romance,1999-03-17,Popular likely worker phone believe school example.,2.46,4.93
232,comedy,1992-11-24,Color very Congress involve here away truth himself.,3.0300000000000002,3.19
233,comedy,2013-05-15,Chair structure interview fast produce nothing just enter.,2.81,2.33
234,romance,2021-06-07,Certainly mean seek reality through old field scene.,2.83,8.67
235,documentary,2015-04-04,Black training weight cell.,0.8200000000000001,1.3
236,scifi,2018-05-01,Staff because form carry work.,2.7,1.1
237,scifi,1981-07-15,Party fish get spring continue father.,0.63,4.04
238,scifi,1984-04-24,Figure cut medical eight.,2.96,9.7
239,documentary,1978-09-12,Other always prove no very.,1.8,6.33
240,romance,1994-05-25,Job others especially security which various.,3.1700000000000004,4.21
241,scifi,2005-11-04,Again push care audience.,2.3200000000000003,0.28
242,documentary,1997-09-09,Describe accept friend level watch real go.,2.22,4.14
243,romance,1981-04-23,Line much light although mother side.,2.91,2.8
244,romance,2009-06-20,Painting treatment avoid trade.,2.33,1.06
245,romance,1987-11-10,Study according the most space.,0.65,0.13
246,comedy,2005-11-10,Customer word feeling heavy laugh.,2.11,1.68
247,scifi,2016-09-14,Better common hospital.,0.73,5.06
248,comedy,2002-08-16,Drug experience under guy develop.,3.0,9.68
249,comedy,2019-01-11,Teach not than suggest support main each.,2.1,9.35
250,romance,1995-10-19,Others than since writer.,1.97,9.12
251,romance,1984-03-06,Beautiful over fine current different.,0.38,5.6
252,scifi,2014-03-29,Cell development will prevent gun professor resource.,1.55,0.46
253,romance,2010-08-15,Morning prevent collection though.,2.2800000000000002,3.21
254,documentary,1988-01-01,Entire role letter moment action nothing name.,0.54,4.24
255,documentary,2018-12-29,Successful data visit.,0.98,1.12
256,comedy,2017-07-03,Respond tough help.,2.62,1.71
257,comedy,2003-03-08,Beautiful believe energy participant training.,0.45,6.0
258,scifi,2013-11-05,Best bad trade friend kid present rate involve.,0.34,7.54
259,romance,2014-05-21,Question century college above these much week.,0.99,1.2
260,comedy,1989-05-29,Country nothing us argue thought.,1.06,9.92
261,documentary,2019-10-26,Entire challenge machine our forget which think.,2.99,8.05
262,romance,2015-05-22,Risk them possible customer quality surface.,1.8399999999999999,0.81
263,documentary,1982-05-16,Job decide recognize different.,2.4400000000000004,5.03
264,romance,2013-10-03,Among level risk.,1.16,4.9
265,documentary,2020-03-30,Put word very hour past reveal painting teacher.,1.3699999999999999,1.78
266,scifi,1993-12-27,Current them individual total find turn.,3.1,8.76
267,romance,1995-11-01,Body drop school understand allow Congress.,2.7600000000000002,1.92
268,scifi,1999-08-18,Just push writer mind.,2.5100000000000002,3.78
269,scifi,2005-08-23,Tough start parent already.,2.66,3.4
270,comedy,2008-08-11,Between actually car collection safe standard week.,3.0100000000000002,5.5
271,scifi,2021-06-16,Under without yeah.,1.3,7.14
272,comedy,1988-03-28,Can training white nearly.,3.0500000000000003,3.44
273,documentary,1984-07-29,Shoulder nor bring bank.,3.0500000000000003,8.36
274,comedy,2005-10-13,Could nice similar drug decade wish.,2.8600000000000003,6.17
275,comedy,2006-12-25,Learn generation apply seven under page.,3.1700000000000004,4.32
276,romance,1984-02-21,Amount almost week find smile near respond try.,2.6100000000000003,0.24
277,scifi,1996-02-02,Light heart news president available born after.,2.91,3.02
278,romance,2001-03-06,Read family daughter sell.,2.8000000000000003,2.74
279,scifi,2007-03-06,Side spring budget color represent represent avoid.,2.0500000000000003,9.25
280,documentary,1979-02-02,Song explain west receive policy.,2.8400000000000003,6.36
281,scifi,1985-03-13,New enjoy herself.,0.30000000000000004,9.22
282,documentary,2020-04-13,Bit join above knowledge nature which.,0.6000000000000001,4.75
283,comedy,2009-02-07,Conference choose thousand growth.,0.75,7.74
284,documentary,1984-03-05,Art impact thousand Congress alone attack thank.,2.2800000000000002,4.99
285,romance,1978-06-19,Detail or white former other range.,1.04,6.85
286,documentary,2007-03-02,Daughter tell race technology.,1.09,9.47
287,documentary,1983-05-28,Mean article again property cup.,1.14,5.61
288,scifi,2000-01-01,Laugh against too figure themselves future effect reduce.,1.8299999999999998,0.81
289,comedy,2016-01-06,Present soon hour size.,3.0500000000000003,0.28
290,comedy,2015-11-08,Much well military behind.,0.73,6.08
291,romance,1979-12-12,Nation culture agreement generation method.,1.02,9.32
292,scifi,2006-09-21,Little detail citizen former discover if last might.,3.04,6.6
293,comedy,1979-08-08,Hit by expect personal morning.,2.17,6.02
294,romance,1993-03-04,For difficult take make his.,0.33,1.1
295,scifi,1991-03-05,Learn simple become.,2.64,0.56
296,scifi,2008-02-29,Woman together all show pattern present.,2.83,4.86
297,romance,1994-05-09,Certainly not laugh safe read such north.,2.8000000000000003,5.38
298,comedy,2021-04-25,Lawyer decision market station.,1.38,5.6
299,romance,2003-08-27,Leader example third entire staff rule there.,2.8600000000000003,3.17
300,romance,2019-01-04,Moment red kid plan month policy.,1.08,5.52
301,documentary,1997-10-17,Yet treat only fish couple.,1.92,3.99
302,documentary,1999-03-18,Serve mention field son test well page.,1.19,9.49
303,comedy,2005-01-07,Customer direction degree provide large hear by.,2.8400000000000003,4.7
304,documentary,1991-12-14,How likely single professional member finish option detail.,0.48000000000000004,9.28
305,documentary,2014-09-03,Republican news small stop chair soldier.,0.61,0.73
306,scifi,2020-10-17,Reach collection nothing figure career.,1.26,1.61
307,comedy,1995-01-16,Five ask eye fish beyond.,1.68,2.97
308,scifi,2003-04-12,Meeting development program mean forget go mission music.,0.66,7.15
309,comedy,2008-02-09,Just lay among exactly usually method unit.,2.7800000000000002,6.57
310,scifi,1986-11-08,Without resource those artist else great happy.,2.5500000000000003,0.79
311,romance,1986-05-04,Line expert event require pattern student short.,1.2,3.68
312,documentary,1998-08-31,My human identify store contain.,1.07,8.42
313,scifi,2020-08-30,Plant gun PM consumer beautiful.,1.73,7.04
314,comedy,1990-01-17,Throw how compare final development be task newspaper.,2.72,5.9
315,documentary,1979-04-26,Relationship kind break school magazine.,1.48,7.16
316,comedy,1999-02-02,Write resource light generation production fact.,1.56,2.3
317,scifi,2013-10-02,Then few us social discussion catch today.,1.52,1.6
318,scifi,2003-03-03,Point job run continue employee management.,1.39,5.38
319,comedy,1977-09-06,I interest mother name which.,1.14,7.49
320,scifi,1981-06-10,Green affect focus citizen actually theory source company.,1.7,9.47
321,romance,1978-12-16,Trip staff realize investment.,2.99,5.7
322,documentary,2005-09-17,Process you spend Democrat rather know reach believe.,0.73,2.85
323,comedy,1993-08-12,Middle far property.,2.19,7.33
324,romance,1999-02-23,Bit from maintain carry share.,1.41,0.26
325,scifi,1977-02-04,Bag response character.,2.7,3.54
326,romance,2003-05-20,Very keep century camera yeah stand.,3.18,5.14
327,documentary,2002-10-05,Serious talk financial radio film land right.,1.3,1.68
328,documentary,2009-12-27,All blue like phone bag morning.,2.5900000000000003,4.71
329,romance,1985-03-12,Whose force allow once seek prove.,2.4000000000000004,9.85
330,romance,2008-10-30,Condition dream take would.,0.8800000000000001,0.54
331,comedy,1994-07-20,Thousand red whose approach realize a their.,0.28,7.03
332,scifi,1989-07-16,Guess detail suffer money reveal executive scene.,1.8299999999999998,8.66
333,documentary,2011-03-11,Should fly cup threat really.,1.95,7.29
334,documentary,1991-05-25,Conference item option commercial set process.,1.22,2.68
335,documentary,2011-03-02,Accept avoid key as trial somebody.,1.3,0.01
336,comedy,2012-03-05,Often relate effect.,0.96,9.43
337,scifi,1990-10-05,Long PM last back morning check work occur.,2.3400000000000003,5.15
338,romance,2005-06-13,Cause course build current see fly.,2.99,2.34
339,documentary,1997-08-22,Half measure radio hospital.,1.19,0.46
340,comedy,1997-11-02,Whose them three.,2.56,9.49
341,documentary,2018-08-10,Travel ability peace north major service.,2.1,2.08
342,romance,2008-07-07,Hundred majority week your gun eat be time.,0.5,7.52
343,documentary,2017-01-07,Finally play kid worker security.,2.83,5.34
344,documentary,2017-08-24,Us kid establish.,0.65,3.83
345,documentary,1982-03-14,Always area sea her six.,1.6099999999999999,3.79
346,comedy,2009-10-26,Clear old card song project without.,1.3,9.39
347,scifi,2021-07-27,Computer no smile church green.,0.34,0.01
348,romance,2000-06-28,Movie sound then child how paper.,1.63,9.84
349,romance,1985-09-16,Less heart cup trouble first crime.,2.98,9.21
350,documentary,2009-05-14,Explain piece another ask character exactly huge.,0.28,5.75
351,romance,1980-11-11,Social single space Congress laugh close ahead.,0.8200000000000001,0.11
352,scifi,1993-09-30,Economy reveal report product despite say occur.,2.7800000000000002,2.41
353,romance,2021-03-19,Especially financial others.,2.41,8.48
354,documentary,2019-03-21,Out true type capital beautiful.,0.5700000000000001,1.29
355,documentary,2012-01-22,Of participant yet again computer.,1.15,8.76
356,romance,2009-09-01,Behavior somebody act forward popular citizen.,2.15,4.75
357,comedy,2006-10-30,Interest enjoy page laugh child.,1.52,1.1
358,documentary,1990-12-29,Western kitchen space.,0.52,2.47
359,romance,2010-03-01,One grow throughout page several card pass.,2.5100000000000002,3.67
360,romance,2014-02-01,Out hotel management line.,2.04,1.18
361,comedy,1979-03-21,Cup stay statement night.,2.0100000000000002,4.86
362,romance,1982-01-22,Cultural federal couple she sport.,1.1300000000000001,3.13
363,scifi,2015-10-26,New activity occur.,2.6700000000000004,4.11
364,documentary,1986-01-06,Often in social wrong.,1.42,2.63
365,romance,2010-04-01,Country seat protect or report later citizen.,1.5799999999999998,0.24
366,romance,1990-12-11,Several than thank range.,2.6700000000000004,2.43
367,romance,2015-01-11,Three score kind never everybody between.,1.3399999999999999,2.82
368,romance,1996-08-07,South something space.,2.06,0.42
369,romance,1988-01-28,Beautiful but after relate.,1.65,7.64
370,comedy,1998-05-10,Have fire grow threat.,2.2,2.3
371,comedy,2016-06-12,Democratic move our trade student half.,2.37,6.93
372,documentary,2000-07-27,Field I change avoid.,3.1,5.4
373,documentary,1979-08-01,Mouth later finish environment hospital finish.,3.16,3.57
374,romance,1984-09-29,Never on simple seem player full customer.,2.0500000000000003,5.91
375,comedy,2021-06-06,Live wonder prepare music last more.,2.27,7.66
376,romance,2018-10-01,Image leave guess.,0.8300000000000001,8.55
377,documentary,1985-01-14,Explain process the.,2.41,1.51
378,documentary,1984-05-08,Senior later woman serve ability.,2.5,9.45
379,comedy,2009-08-06,Cell pattern test Republican.,0.65,3.08
380,romance,1977-06-24,Official itself change including.,2.68,4.95
381,documentary,1992-02-12,Growth choose blue try here account summer.,1.8,4.44
382,comedy,1990-03-27,Success six way modern her top.,1.1,2.62
383,romance,2015-01-27,Peace method themselves process also.,2.39,1.11
384,comedy,2005-06-03,Child agency firm six.,1.51,6.53
385,romance,1993-06-16,Some provide imagine nation budget wall air.,2.17,3.68
386,documentary,1983-07-06,Offer federal why my yard wrong.,2.2800000000000002,5.52
387,romance,1993-03-04,Nothing inside thus force according staff.,1.54,4.51
388,comedy,2005-05-07,Tax campaign describe speech lawyer.,2.29,0.33
389,romance,1985-01-10,Tell culture gun health.,3.08,5.15
390,scifi,2002-09-09,Large fine on series.,1.0,9.41
391,documentary,1992-08-16,Reflect weight region reach be lay.,2.47,3.04
392,scifi,1988-05-16,Base yard without west.,2.74,8.58
393,comedy,2002-02-24,Star film describe there.,1.19,3.02
394,comedy,1986-12-21,Get sure arrive pattern.,3.0700000000000003,9.75
395,documentary,1982-12-19,Remain father huge ask every knowledge conference.,2.7,5.99
396,documentary,1982-03-10,Out none performance.,2.5300000000000002,3.72
397,comedy,1995-07-21,Challenge eye involve hard different out.,2.0300000000000002,8.98
398,comedy,1990-06-08,Age option including herself.,2.4000000000000004,4.45
399,scifi,2011-06-03,Daughter rise place maybe.,2.2800000000000002,0.18
400,documentary,1987-01-16,Agency capital tree human moment nearly.,0.8500000000000001,0.48
401,scifi,2013-09-22,Water per individual.,1.11,1.27
402,scifi,1994-02-21,Remember coach hotel week per former.,2.7600000000000002,8.89
403,documentary,2014-07-14,Color modern defense ready future serve business.,2.98,7.16
404,scifi,2003-07-21,Talk help address.,0.77,2.67
405,comedy,2015-01-07,Center organization all operation himself.,2.7,4.42
406,comedy,2006-01-14,Against letter specific phone surface question media chair.,2.3600000000000003,9.33
407,romance,1988-09-17,Campaign family article manager mind.,0.61,0.76
